Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Brandon Zerk-Thatcher,Essendon,22,22.35,Key Defender,10,4.59,47.5,32.5,0,0,0,0,88.1,4.6,3.6,8.2,81.707,76.087,88.889,56.098,0.1,1.1,76.9,9.378,1,8.2,0.6,13.667,2.5,5.6,8.1,30.864,2.7,1.8,0.1,0,0,0,3,0.2,0.1,0.5,0,0.6,0.5,0.1,0,0,0,,0,,0.8,0,2.7,40.741,0,,0,0,0.2,0.2,0,0,1.3,8.725,0.5,0.1,3.7,4.9,3.4,3.5
Dylan Shiel,Essendon,27,27.81,Midfielder,15,11.993,102,81.867,24,1.6,4,6,79.8,12.6,10.6,23.2,67.529,56.614,80.503,54.31,3.867,1.333,321.133,13.842,2.733,8.488,4.067,5.705,9.6,12.667,22.267,43.114,2.933,6.733,0.467,2.6,2.4,5,2.533,0,0.133,0.133,0.067,1.2,0.6,0.6,0,0,0,,0,,3.467,0.267,0,,0.267,25,4,0.267,0.4,0.867,0.533,30.769,4.267,28.444,1.267,0.667,1.267,17.133,8.2,0.267
Jacob Townsend,Essendon,27,27.53,Gen. Forward,12,4.058,44.333,34.5,4,0.333,1,0,72.75,4.417,1.833,6.25,56,52.83,63.636,70.667,1,0.167,104.333,16.693,2.333,2.679,2.333,2.679,3.583,2.5,6.083,58.904,0.417,1.667,0.917,0,0.083,0.083,1.833,0.917,1.083,0.083,0.417,1,1.5,-0.5,0,0,0,,0,,2.667,1.5,0,,3.25,28.205,9,0.75,0.417,1.333,0.25,56.25,2.5,16.854,0.083,0,1.083,8.333,1.667,0.75
Jake Stringer,Essendon,26,26.68,Gen. Forward,10,6.19,52.6,41.3,4,0.4,1,2,81.5,5.7,1.6,7.3,52.055,50.877,56.25,78.082,1.7,0.1,170.3,23.329,2,3.65,2.4,3.042,3.7,3.7,7.4,50,1,2.5,0.9,0.2,0.4,0.6,1.8,0.2,1.2,0,0.6,0.7,0.8,-0.1,0.8,1.194,0,0,0,,1.9,0.6,0,,1.8,16.667,15,1.5,0.7,2.5,0.1,60,3.1,20.805,0.2,0,0.9,10.3,1.5,0.6
Adam Saad,Essendon,26,26.44,Gen. Defender,17,10.541,97.941,66.059,16,0.941,4,2,83.235,11.824,7,18.824,80.938,76.119,89.076,62.813,2.941,4.471,404.824,21.506,1.941,9.697,3.529,5.333,5,12.294,17.294,28.912,5.412,3.882,0,0.235,0.412,0.647,2.882,0.118,0,0.647,0.059,0.588,0.471,0.118,0,0,0,,0,,2,0.118,1.059,27.778,0,,2,0.118,0.059,0.294,0.176,40,3.235,21.318,1.471,0.941,3.647,11.294,7.588,2.647
Orazio Fantasia,Essendon,25,25.29,Gen. Defender,5,5.02,56.2,39.2,0,0,0,0,78.8,5.4,4.4,9.8,83.673,81.481,86.364,55.102,1,1.2,200.2,20.429,1,9.8,1.4,7,2.2,7.2,9.4,23.404,1.8,1.8,0.2,0,0.2,0.2,3,0,0.6,0.4,0.6,0.4,0.4,0,0,0,0,,0,,1.2,0.4,0,,0.4,50,1,0.2,0,0.2,0.6,100,2.2,13.75,0.2,0.6,1.6,8,4.2,1.4
Jayden Laverde,Essendon,24,24.72,Key Forward,6,6.317,57.333,44.333,0,0,0,0,66.667,5,2.667,7.667,69.565,76.667,56.25,65.217,1.333,0.167,118.333,15.435,1.833,4.182,1.667,4.6,2.5,5.333,7.833,31.915,0.5,1.333,0.667,0.167,0.167,0.333,3.333,0.667,1.333,0,0.833,0.5,1,-0.5,0.167,0.246,0,0,0,,2.5,1.5,0.167,0,2.167,38.462,6,1,0.5,1.5,0.833,66.667,2.833,17,0.333,0,0.833,7.667,2.333,0.833
Kyle Langford,Essendon,24,24.08,Mid-Forward,16,8.338,81.312,68.375,3,0.188,2,0,83.25,9.062,8.875,17.938,66.899,51.034,83.099,50.523,2.188,0.688,236.438,13.181,2.5,7.175,3.938,4.556,6.5,11.375,17.875,36.364,2.562,5.188,1.5,0.312,1.25,1.562,4.062,0.5,0.938,0.438,0.312,0.562,0.5,0.062,0.812,1.171,0,0,0,,1.875,0.25,0.062,100,0.75,41.667,11,0.688,0.562,1.75,0.312,39.286,3.812,24.898,0.625,0.375,0.688,9.562,4.375,0.188
Aaron Francis,Essendon,23,23.39,Key Defender,8,4.938,59.625,41.5,3,0.375,1,0,76.875,5.5,4.375,9.875,82.278,75,91.429,55.696,0.75,2.25,183,18.532,2.125,4.647,2,4.938,3,6.5,9.5,31.579,3.75,2.25,0,0,0.125,0.125,3.375,0.25,0,1.375,0.125,0.625,0.5,0.125,0,0,0,,0,,1.75,0,2.875,34.783,0,,0,0,0,0,0,,0.75,4.918,0.25,0.25,5.25,6.375,5,5
Zach Merrett,Essendon,25,25.24,Midfielder,16,11.1,115.562,92.562,55,3.438,8,13,82.438,13.812,12.438,26.25,74.048,62.443,86.935,52.619,4.875,1.875,413.188,15.74,2.875,9.13,4.312,6.087,7.75,18.438,26.188,29.594,2.375,5.625,0.375,1.562,2,3.562,4.312,0.125,0.062,0.062,0.125,0.938,0.75,0.188,0,0,0,,0,,3.438,0.125,0.438,28.571,0.062,0,2,0.125,0.125,0.562,0.438,22.222,5,32.653,1.062,0.25,1.25,18.375,9.562,0.125
Darcy Parish,Essendon,23,23.43,Midfielder,17,9.735,86.706,65.235,5,0.294,2,0,78.059,8.588,10.529,19.118,65.846,47.945,80.447,44.923,3.294,0.706,248.706,13.009,3.059,6.25,3.588,5.328,9.118,10.176,19.294,47.256,2.294,7.471,1.353,1.588,2.647,4.235,1.588,0.059,0.235,0.059,0.118,0.294,0.529,-0.235,0,0,0,,0,,3.059,0.824,0,,0.353,33.333,7,0.412,0.235,0.824,0.353,50,3.706,24.419,0.882,0,0.647,17.176,7.588,0.176
Matt Guelfi,Essendon,23,23.38,Gen. Defender,11,5.573,60.364,46.818,0,0,0,0,80.364,6.545,6.091,12.636,74.101,69.444,79.104,51.799,1.091,1.818,163.545,12.942,2,6.318,2.364,5.346,4.545,7.818,12.364,36.765,3.909,3.273,0.545,0.091,0.545,0.636,3.364,0.636,0.091,0.727,0.182,0.545,0.727,-0.182,0,0,0,,0,,1.636,0.091,0.636,14.286,0,,0,0,0,0.091,0.182,0,2.273,15.06,0.818,0,2.455,8.273,5.182,1.727
Mason Redman,Essendon,23,23.34,Gen. Defender,13,4.531,61.462,45.846,0,0,0,0,79.692,7.231,4.846,12.077,77.707,77.66,77.778,59.873,0.769,2.385,201.769,16.707,2.154,5.607,2.308,5.233,3.615,7.923,11.538,31.333,3.154,2.462,0,0,0.154,0.154,3.154,0.538,0.077,0.615,0,0.462,0.923,-0.462,0,0,0,,0,,1.692,0.154,1.538,40,0,,1,0.077,0.077,0.154,0,50,1.385,8.824,0.538,0.385,1.462,6.462,5,1.154
Andrew McGrath,Essendon,22,22.58,Midfielder,14,10.321,94.929,77.286,37,2.643,9,7,79.714,10.643,11.5,22.143,68.71,55.034,81.366,48.065,2.5,2,238.786,10.784,3.429,6.458,4.429,5,9.143,12.643,21.786,41.967,3.857,7.214,0.429,2.071,2.857,4.929,1.571,0,0,0.214,0,1,0.857,0.143,0,0,0,,0,,4.786,0.214,0.071,0,0,,0,0,0.071,0.071,0.214,0,3.071,19.725,1.214,0.429,1.214,17.143,10.5,0.357
Lachie Schultz,Fremantle,23,23.08,Gen. Forward,17,4.076,55.471,50.176,0,0,0,0,80.941,6.412,3.529,9.941,60.355,52.294,75,64.497,1.647,0.294,172.588,17.361,2.647,3.756,3.176,3.13,3.765,6.353,10.118,37.209,0.941,2.471,1,0,0.294,0.294,3.588,0.235,1,0.059,0.588,0.882,0.765,0.118,0,0,0,,0,,2.471,0.941,0,,0.647,0,12,0.706,0.412,1.529,0.294,46.154,2.647,19.481,0.176,0,0.471,12.824,3.882,0.176
Andrew Brayshaw,Fremantle,21,21.14,Midfielder,17,8.871,101.294,76.235,34,2,4,9,75.353,8.706,11.235,19.941,75.516,62.838,85.34,43.658,2.235,1.471,202.059,10.133,2,9.971,2.824,7.062,8.059,12.059,20.118,40.058,2.235,5.471,0.765,0.529,2.529,3.059,2.824,0.059,0.118,0.235,0.118,1.059,0.529,0.529,0,0,0,,0,,4.882,0.647,0.118,50,0.118,0,0,0,0.176,0.412,0.294,0,3,22.078,0.588,0.412,1.706,19.882,9.647,0.235
Adam Cerra,Fremantle,21,21.23,Midfielder,17,9.106,90.235,66.059,22,1.294,3,3,79.824,8.412,8.941,17.353,71.864,67.832,75.658,48.475,2.059,1.118,215.647,12.427,2.176,7.973,2.471,7.024,7.176,10.588,17.765,40.397,3.176,5.294,0.294,0.647,1.412,2.059,3,0.176,0.059,0.235,0.235,1,1,0,0,0,0,,0,,3.765,0.353,0.118,0,0.235,25,2,0.118,0.176,0.294,0.294,40,2.588,19.048,0.765,0.059,1.471,17.941,9.647,0.824
Sam Sturt,Fremantle,20,20.63,Gen. Forward,3,8.067,61.667,39,0,0,0,0,74,4,3.667,7.667,82.609,83.333,81.818,52.174,1,0.667,102,13.304,0,,0.667,11.5,3.333,4.333,7.667,43.478,2.333,2.333,0.667,0,0,0,2.333,0.333,1,0.333,0.667,0.667,0,0.667,0,0,0,,0,,1,0.333,0,,1.333,25,4,1.333,0,1.667,0.333,80,3.333,23.81,0.333,0,0.333,9.333,2.667,0
Michael Walters,Fremantle,29,29.98,Mid-Forward,14,10.557,98.857,73.143,34,2.429,6,8,87.786,10.357,7.286,17.643,68.421,60,80.392,58.704,2.571,1.286,254.071,14.401,3.143,5.614,3.929,4.491,8.214,9.5,17.714,46.371,1.929,5.214,1.786,1.286,1.786,3.071,3.143,0.429,0.643,0.214,0.714,1.857,0.714,1.143,0,0,0,,0,,2.857,0.643,0,,1.143,37.5,15,1.071,0.5,2.071,0.5,51.724,4.857,35.233,1.357,0.214,1.429,13.857,4.214,0.286
Nat Fyfe,Fremantle,29,29.28,Midfielder,14,14.764,113.214,75.286,39,2.786,8,10,82.071,9.286,12.143,21.429,74.333,60,85.294,43.333,2.286,1.143,207.071,9.663,3.214,6.667,2.571,8.333,12.429,9.071,21.5,57.807,3.571,7.786,1.286,1.5,3.071,4.571,3.071,1.143,0.786,0.429,0.143,1.357,1.286,0.071,0,0,0,,0,,2.929,0.286,0.143,100,1.571,40.909,10,0.714,0.429,1.5,0.5,47.619,4.5,30.882,0.857,0.071,2.5,17.071,6.857,1.214
Matt Taberner,Fremantle,27,27.53,Key Forward,16,7.15,75,58.625,14,0.875,6,3,98,8.062,2.312,10.375,60.843,60.465,62.162,77.711,1.812,0.25,196.188,18.91,2.312,4.486,2.688,3.86,5.188,5.562,10.75,48.256,0.562,2,0.75,0.062,0.125,0.188,5.75,2.375,2.25,0.188,1.312,0.625,0.75,-0.125,3,4.167,0.5,16.667,0.062,12.5,0.5,0.125,0.062,100,6.938,27.928,29,1.812,0.812,3,0.312,60.417,3.812,28.111,0.312,0,1.312,5.875,1.438,1.188
James Aish,Fremantle,25,25.14,Midfielder,16,6.506,75.312,61.562,2,0.125,1,0,83,10.125,6.438,16.562,74.717,67.901,85.437,61.132,2.438,1.562,279.375,16.868,1.625,10.192,3.125,5.3,4.188,11.938,16.125,25.969,3.312,3.25,0.375,0.125,0.812,0.938,3.938,0.062,0.188,1.062,0.062,0.875,0.25,0.625,0,0,0,,0,,1.562,0.125,0.188,33.333,0.062,0,0,0,0.125,0.188,0.438,0,2.125,15.455,0.625,0.062,0.688,9.438,5.938,0.375
Rory Lobb,Fremantle,27,27.89,Ruck,17,7.5,77.235,56.765,10,0.588,2,3,97.235,6.824,3.353,10.176,65.896,59.483,78.947,67.052,2.353,0.647,203.176,19.965,1.941,5.242,2.647,3.844,6.118,4.765,10.882,56.216,2,2.647,0.529,0.059,0.824,0.882,3.706,2.176,0.941,1.118,0.353,0.882,0.353,0.529,30,41.329,9.118,30.392,2.412,26.452,1.412,0.412,0.529,11.111,2.412,36.585,10,0.588,0.353,1.294,0.294,45.455,2.941,21.645,0.706,0,2,8.882,3.765,1.588
Darcy Tucker,Fremantle,23,23.93,Midfielder,8,4.812,64.75,58.5,3,0.375,1,2,69.875,8.5,5.5,14,66.964,58.824,79.545,60.714,2.375,1.125,240.5,17.179,2.75,5.091,2.75,5.091,5.25,9.375,14.625,35.897,1.5,3.625,0.375,0.75,1.625,2.375,2.625,0,0.375,0.125,0,0.875,1,-0.125,0,0,0,,0,,3.25,0.375,0,,0,,4,0.5,0.25,0.875,0.25,57.143,2.875,22.115,0.5,0,0.25,16.125,9,0
Brennan Cox,Fremantle,22,22.38,Key Defender,13,8.946,80.692,43.462,3,0.231,1,0,90.462,6.385,5,11.385,85.811,84.337,87.692,56.081,0.769,2.077,133.538,11.73,1.462,7.789,1.615,7.048,4.769,7.231,12,39.744,6.154,2.615,0,0,0,0,3.923,1.077,0,1.923,0,0.769,0.538,0.231,0,0,0,,0,,0.846,0,3.154,26.829,0,,0,0,0,0,0,,1,7.182,0.692,0.077,6.846,5,4.308,5.846
Griffin Logue,Fremantle,22,22.71,Key Defender,5,8.02,70.2,35.2,6,1.2,1,0,98.2,4.4,5.4,9.8,75.51,77.273,74.074,44.898,0.8,1.6,115.4,11.776,1,9.8,2.4,4.083,5.8,4.2,10,58,5.4,3.8,0,0,0,0,2.4,1.2,0,2,0,0.6,0.2,0.4,0,0,0,,0,,1,0,3.2,25,0,,0,0,0,0,0,,0.8,5.556,0.4,0.2,5.2,4.2,3.4,4.6
Sean Darcy,Fremantle,22,22.55,Ruck,15,8.667,78.2,51.2,3,0.2,2,0,77.667,2.8,6.133,8.933,70.149,57.143,76.087,31.343,0.8,0.2,78.733,8.813,2.933,3.045,1.4,6.381,6.2,3.333,9.533,65.035,0.933,3.467,0.733,0.733,1.267,2,1.6,0.8,0.267,0.333,0,0.467,1.933,-1.467,44.867,61.857,22,49.034,7,31.818,1.667,0.2,0.533,25,1.133,29.412,5,0.333,0.4,0.8,0.267,41.667,2.467,17.703,1.6,0,2.8,8.8,4.467,1.8
Bailey Banfield,Fremantle,22,22.84,Gen. Forward,5,5.74,59.6,44.6,0,0,0,0,81.8,5.2,4.2,9.4,63.83,50,80.952,55.319,1.6,0,111.2,11.83,2.2,4.273,3.6,2.611,5.6,3.8,9.4,59.574,1,3.8,1.6,0,0.6,0.6,1.6,0,0.2,0,0.2,1.6,0.6,1,0.2,0.275,0,0,0,,3.4,2.6,0,,1.2,16.667,2,0.4,0,0.8,0.4,50,3,22.059,0.8,0,0.8,17.4,4.4,0.6
Luke Ryan,Fremantle,24,24.89,Key Defender,17,8.447,107.294,70.706,30,1.765,5,6,91.706,14.824,3.824,18.647,84.227,83.333,87.692,79.495,0.706,6.647,405.765,21.76,1.706,10.931,3.706,5.032,4.176,9.235,13.412,31.14,7.588,3.294,0,0,0.294,0.294,5.176,0.294,0,2.176,0,0.647,0.765,-0.118,0,0,0,,0,,1.176,0,2.882,30.612,0,,0,0,0,0,0.059,,0.941,6.926,0.353,0.412,4.647,7.824,6.706,3.706
Lachlan Murphy,Adelaide,22,22.07,Gen. Forward,12,6.292,61.167,44,0,0,0,0,79.583,4.75,4.5,9.25,69.369,63.158,75.926,51.351,1.667,0.25,136.833,14.793,1.167,7.929,1.833,5.045,4.083,5.333,9.417,43.363,1.5,3,1.083,0,0.25,0.25,1.417,0.083,0.417,0.083,0.333,1.167,0.5,0.667,0,0,0,,0,,3.167,1.25,0.083,100,1.167,35.714,7,0.583,0.667,1.417,0.583,41.176,3.417,23.563,0.5,0,1.083,12.917,4.583,0.75
Chayce Jones,Adelaide,20,20.96,Midfielder,15,4.653,44.067,32.933,0,0,0,0,80.133,4.333,3.867,8.2,67.48,49.231,87.931,52.846,1.4,0.667,116.6,14.22,2.533,3.237,2.133,3.844,4.533,4.267,8.8,51.515,1.267,3.267,0.867,0.267,0.933,1.2,1.467,0.133,0.2,0,0.2,0.933,0.933,0,0,0,0,,0,,1.8,0.333,0.067,0,0.333,20,6,0.4,0.067,0.6,0.133,66.667,1.933,13.242,0.733,0,0.667,12.8,6.2,0.467
Taylor Walker,Adelaide,30,30.68,Key Forward,14,5.729,55.5,38.429,0,0,0,0,86.143,5.286,2.214,7.5,57.143,54.054,64.516,70.476,1.857,0,175.929,23.457,1.5,5,2.071,3.621,4.143,3.643,7.786,53.211,0.643,2.357,1.286,0,0.357,0.357,2.571,0.929,0.714,0.071,0.714,0.714,0.571,0.143,2.214,2.961,0.357,16.129,0.071,20,1,0.5,0,,3.643,29.412,15,1.071,0.643,2.071,0.429,51.724,3.071,21.5,0.214,0,2.286,6.857,1.357,2
Brodie Smith,Adelaide,28,28.96,Gen. Defender,16,7.675,81.562,68.25,16,1,3,1,79.438,12.688,4.5,17.188,69.455,66.01,79.167,73.818,3,3.75,454.75,26.458,2.5,6.875,4.938,3.481,4.25,11.062,15.312,27.755,3.125,3.25,0.125,0.125,0.875,1,3.625,0.125,0.125,0.875,0,0.438,0.625,-0.188,0,0,0,,0,,2.375,0.125,0.562,44.444,0,,5,0.312,0.375,0.875,0.188,35.714,3.062,20.94,0.562,0.188,1.375,11.812,6.875,0.875
Rory Laird,Adelaide,27,27,Midfielder,17,9.541,105.118,80,33,1.941,6,4,80.941,10.941,11.941,22.882,74.036,60.753,86.207,47.815,2.765,3.176,289.235,12.64,3.294,6.946,4.765,4.802,8.882,14.529,23.412,37.94,4.118,6.706,0.235,0.941,2.118,3.059,2.706,0.059,0.059,0.294,0.118,1.118,1.176,-0.059,0,0,0,,0,,4.118,0.588,0.588,60,0,,3,0.176,0.059,0.294,0.235,60,3.176,21.951,0.647,0.059,1,15.647,9.353,0.235
Brad Crouch,Adelaide,26,26.96,Midfielder,12,7.825,83.5,73.667,12,1,3,1,74.417,11.333,10.583,21.917,63.118,47.059,80.315,51.711,3,1.25,263.333,12.015,4.083,5.367,4.833,4.534,10.083,11.333,21.417,47.082,2.167,6.5,0.583,1.5,3.417,4.917,1.667,0,0.083,0.083,0.083,1.25,1.167,0.083,0,0,0,,0,,3.667,0.583,0.167,50,0.083,0,2,0.167,0.083,0.333,0.167,50,3.167,21.111,0.667,0,0.417,11.833,5.917,0.083
Rory Atkins,Adelaide,26,26.47,Midfielder,4,5.55,50.5,35.5,0,0,0,0,68,5,4.25,9.25,62.162,50,76.471,54.054,1.5,0.75,149.5,16.162,1.25,7.4,2.5,3.7,4,6,10,40,1.75,3.25,0.75,0.25,0,0.25,1,0.25,0.75,0,0,0.25,0.75,-0.5,0,0,0,,0,,2,0,0,,0,,2,0.5,0,0.75,0.25,66.667,1.5,12,0.75,0,0.75,11.25,5.75,0.25
Matt Crouch,Adelaide,25,25.69,Midfielder,16,8.8,110.688,88.812,24,1.5,4,3,77.062,10.188,16,26.188,71.36,59.509,78.906,38.902,2.188,1.812,247.625,9.456,2.562,10.22,3.938,6.651,9.688,16.375,26.062,37.17,2.5,6.188,0.438,1.562,2.688,4.25,2.75,0,0.062,0.188,0.062,1.188,0.875,0.312,0,0,0,,0,,4.625,0.125,0.188,0,0.062,0,2,0.125,0.188,0.312,0.062,40,4.125,28.085,1.125,0.062,0.688,17.875,9.062,0.312
Jake Kelly,Adelaide,25,25.94,Gen. Defender,15,3.78,57.667,39.333,0,0,0,0,87.667,5.667,2.6,8.267,82.258,82.353,82.051,68.548,0.6,1.867,118.667,14.355,1.733,4.769,1.4,5.905,3.067,4.933,8,38.333,3.933,2.133,0,0,0.067,0.067,2.933,0.467,0,0.867,0,0.667,0.733,-0.067,0,0,0,,0,,2.467,0,2.533,13.158,0,,0,0,0,0,0,,1,7.009,0.6,0,3.733,8.4,6.333,3.4
Reilly O'Brien,Adelaide,25,25.36,Ruck,17,10.959,106.235,86.529,11,0.647,3,4,88.118,6.294,7.353,13.647,60.776,42.991,76,46.121,1.647,1.059,137.706,10.091,2.706,5.043,2.471,5.524,7.471,6,13.471,55.459,3.588,3.176,0.118,0.529,1.118,1.647,3.765,1.941,0.059,2,0,1.118,0.941,0.176,61.353,84.113,27.176,44.295,8.059,29.654,4,0.235,0.941,25,1.235,33.333,0,0,0.176,0.294,0.176,0,2.882,19.919,1.529,0,2.294,12.471,7.471,1.647
Ben Davis,Adelaide,23,23.61,Gen. Forward,1,6.5,51,37,0,0,0,0,85,4,1,5,60,75,0,80,2,0,169,33.8,0,,0,,4,2,6,66.667,0,1,1,0,0,0,2,1,0,0,0,3,0,3,0,0,0,,0,,2,2,0,,3,33.333,1,1,0,1,0,100,2,12.5,0,2,1,13,2,0
Wayne Milera,Adelaide,23,23.29,Gen. Defender,2,7.05,83,51.5,1,0.5,1,0,82,8.5,6.5,15,86.667,82.353,92.308,56.667,0.5,4,282,18.8,1.5,10,0.5,30,3.5,10,13.5,25.926,5.5,3,0,0,0,0,3.5,0.5,0,2.5,0,0,0.5,-0.5,0,0,0,,0,,1,0,1.5,33.333,0,,0,0,0,0,0.5,,3.5,26.923,2,0.5,2,15,12.5,2
Billy Frampton,Adelaide,24,24.11,Key Forward,5,2.54,53.2,40.4,0,0,0,0,86.2,4.4,3.6,8,65,54.545,77.778,55,0.6,0.2,85,10.625,2.2,3.636,1.6,5,3.2,5,8.2,39.024,0.8,2.2,1,0,0.4,0.4,3.4,0.6,1,0.2,0.4,0.4,1.6,-1.2,8.2,12.812,4,48.78,0.8,20,1,0.6,0.2,100,3.6,5.556,5,1,0.2,1.6,0.4,62.5,3.2,22.222,0.6,0,1.6,6,2.2,1.6
Tyson Stengle,Adelaide,22,22.2,Gen. Forward,12,5.783,56.833,40.833,0,0,0,0,79.083,5.5,4.25,9.75,69.231,62.121,78.431,56.41,1.667,0.167,146.5,15.026,1.917,5.087,1.833,5.318,4.417,5.333,9.75,45.299,1.083,3.5,1.167,0.25,0.5,0.75,1.667,0.083,0.5,0,0.583,0.5,0.917,-0.417,0,0,0,,0,,2.083,0.75,0,,0.833,10,8,0.667,0.75,2,0.75,33.333,3.333,21.053,0.583,0,0.917,12.75,3.833,0.417
Darcy Fogarty,Adelaide,21,21.26,Key Forward,10,5.86,53.3,36.6,0,0,0,0,85,4.1,3.3,7.4,71.622,58.537,87.879,55.405,1.3,0.2,139.6,18.865,2.1,3.524,2,3.7,4.9,2.3,7.2,68.056,0.5,2.8,0.8,0.1,0.2,0.3,1.9,0.7,0.5,0.1,0.8,1.1,1,0.1,0.8,1.024,0.2,25,0,0,2.2,0.8,0,,3.2,21.875,8,0.8,0.1,1.5,0.3,53.333,3,20.134,0.1,0.1,1.3,9.4,2.3,1
Nick Blakey,Sydney,20,20.84,Mid-Forward,16,6.5,59.312,47.188,4,0.25,2,0,76,7.875,2.25,10.125,56.79,53.175,69.444,77.778,2.625,0.562,256.375,25.321,1.812,5.586,2.875,3.522,4.438,5.625,10.062,44.099,1.75,2.688,0.5,0.5,1,1.5,2.25,0.312,0.562,0.188,0.375,1,0.5,0.5,0.062,0.086,0,0,0,,2.25,0.438,0.062,0,0.938,33.333,8,0.5,0.812,1.438,0.312,34.783,2.75,18.41,0.5,0.438,0.875,11.938,4.875,0.625
James Rowbottom,Sydney,20,20.28,Midfielder,16,8.756,75.5,56.125,4,0.25,1,0,76.875,8.25,6.562,14.812,67.089,53.03,84.762,55.696,2.438,1.562,231.562,15.633,2.75,5.386,3.375,4.389,8,7.312,15.312,52.245,2.188,5.875,0.875,0.875,2.312,3.188,1.375,0.125,0.062,0.188,0,1.062,1.062,0,0,0,0,,0,,3.625,0.438,0.125,50,0.25,50,4,0.25,0.25,0.5,0.312,50,2.312,15.481,0.75,0,1,18.25,8.938,0.375
Tom McCartin,Sydney,21,21,Key Forward,14,6.771,58.214,38.429,1,0.071,1,0,83.286,5,3.5,8.5,72.269,72.857,71.429,58.824,1.143,0.786,129.929,15.286,1.786,4.76,2.071,4.103,4.571,3.786,8.357,54.701,2.571,2,0.571,0,0.143,0.143,3.643,1.714,0.643,1.214,0.786,0.643,0.929,-0.286,0.857,1.161,0.214,25,0.143,66.667,0.857,0.286,1,28.571,2.286,34.375,9,0.643,0.143,0.786,0.214,81.818,2.214,14.623,0.286,0,2.357,6.357,2.429,1.929
Justin McInerney,Sydney,20,20.36,Midfielder,9,8.822,71.556,50.444,2,0.222,1,0,81.778,6.667,7.222,13.889,71.2,66.667,75.385,48,2.111,0.667,215.111,15.488,2.444,5.682,3.444,4.032,5.222,9.111,14.333,36.434,3.444,3.889,0.222,0.111,0.444,0.556,2.889,0.333,0.222,0.667,0.111,0.889,0.889,0,0,0,0,,0,,1.444,0.222,0.333,0,0.111,100,5,0.556,0,0.667,0.444,83.333,2.889,19.403,0.667,0,1.556,10,5.111,1.222
Dane Rampe,Sydney,30,30.58,Key Defender,11,9.682,91.636,52.273,20,1.818,4,1,94.364,9.545,5,14.545,81.875,79.048,87.273,65.625,0.455,5.455,299,20.556,2.364,6.154,3.182,4.571,4.636,9,13.636,34,5.727,3.273,0,0,0.273,0.273,3.818,0.455,0,1.273,0,0.818,1.364,-0.545,0,0,0,,0,,1.364,0,4.273,25.532,0,,0,0,0,0,0,,2.091,13.45,0.636,0.273,6,5,4.545,5.545
Luke Parker,Sydney,28,28.18,Midfielder,17,10.512,106.294,84.176,44,2.588,7,15,86.294,11.176,11,22.176,62.334,46.842,78.075,50.398,3.059,1.353,278.882,12.576,3.941,5.627,4.235,5.236,11.412,10.059,21.471,53.151,2.824,7.176,1,2.353,2.471,4.824,3.118,0.235,0.412,0.471,0.176,1.294,1.235,0.059,0.118,0.163,0,0,0,,4.824,0.529,0.176,66.667,0.471,25,6,0.353,0.294,1,0.353,35.294,4.294,29.2,1.118,0,1.824,20.471,10.824,0.412
Harry Cunningham,Sydney,27,27.06,Gen. Defender,17,6.382,74.706,58.118,0,0,0,0,84.588,9.235,5.647,14.882,79.051,70.064,93.75,62.055,1.647,3.294,285.353,19.174,1.647,9.036,3.294,4.518,4.176,9.765,13.941,29.958,3.882,3.353,0.059,0.059,0.471,0.529,3.471,0.118,0,0.588,0.118,0.588,0.294,0.294,0,0,0,,0,,2.235,0.176,0.529,22.222,0,,0,0,0.059,0.118,0.118,0,1.882,12.8,0.529,0.059,1.176,9.471,6.706,0.765
Aliir Aliir,Sydney,26,26.32,Key Defender,14,5.607,59.786,44.143,0,0,0,0,80.5,5.571,4.071,9.643,72.593,67.949,78.947,57.778,1.071,1.714,154.571,16.03,2.143,4.5,2.357,4.091,4.286,5.429,9.714,44.118,3.071,2.857,0.071,0.643,0.714,1.357,3.214,0.5,0.214,1,0.357,0.286,1,-0.714,17.143,23.369,4.714,27.5,1.143,24.242,1.571,0.071,1.5,47.619,0.571,37.5,3,0.214,0.071,0.286,0,75,1.643,10.748,0.429,0.5,2.929,7.357,4.571,2.429
