Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Luke Dunstan,St Kilda,25,25.92,Midfielder,1,9,92,100,0,0,0,1,81,13,8,21,47.619,30.769,75,61.905,6,0,347,16.524,1,21,0,,5,14,19,26.316,2,3,0,1,1,2,3,0,1,0,0,0,0,0,0,0,0,,0,,9,2,0,,0,,0,0,0,2,1,0,5,26.316,2,0,1,28,12,0
Dean Kent,St Kilda,26,26.84,Gen. Forward,15,6.647,58.933,46.4,0,0,0,0,76.733,6.4,3.067,9.467,69.718,63.542,82.609,67.606,2.533,0.267,181.6,19.183,2,4.733,2.533,3.737,3.667,5.867,9.533,38.462,1.067,2.533,1.2,0.067,0.267,0.333,3.2,0.2,0.533,0.2,0.8,0.6,0.4,0.2,0.133,0.194,0,0,0,,1.933,1.2,0.067,100,0.8,8.333,10,0.667,0.333,1.267,0.4,52.632,3.667,20.677,0.467,0.267,0.733,11.267,2.133,0.333
Jack Lonie,St Kilda,24,24.38,Gen. Forward,13,6.092,63.385,51.923,0,0,0,0,81.462,7.308,2.769,10.077,60.305,58.947,63.889,72.519,1.769,0.308,157,15.58,1.538,6.55,1.692,5.955,3.462,6.462,9.923,34.884,1.154,2.769,1.615,0,0.385,0.385,3.385,0.077,0.923,0,0.462,0.769,0.385,0.385,0,0,0,,0,,2.154,1.538,0,,0.769,0,12,0.923,0.538,2.077,0.385,44.444,3.692,19.835,0.692,0.077,0.923,13.077,2.692,0.308
Daniel Rich,Brisbane,30,30.56,Gen. Defender,15,8.7,92.867,70,29,1.933,5,2,81.8,14.533,2.6,17.133,78.599,77.523,84.615,84.825,2.6,4.8,430.333,25.117,1.467,11.682,3.467,4.942,3.6,10.467,14.067,25.592,4.933,2.533,0.133,0.067,0.333,0.4,4.933,0.267,0,1.533,0.133,0.6,0.333,0.267,0,0,0,,0,,1.267,0,0.933,7.143,0,,4,0.267,0.133,0.4,0.067,66.667,2.733,13.226,0.933,0,1.8,6.067,4.4,1.267
Stefan Martin,Brisbane,34,34.12,Ruck,8,4.487,51,47.375,0,0,0,0,60.25,4.625,2.625,7.25,46.552,29.73,76.19,63.793,1.125,0.5,81.875,11.293,2.375,3.053,2.375,3.053,5.125,1.875,7,73.214,1,1.875,0.625,0.875,1.625,2.5,1,0.5,0.25,0.25,0,1,1.125,-0.125,38.5,46.737,17.25,44.805,3.25,18.841,2.375,0,0.25,0,0.875,28.571,1,0.125,0.125,0.375,0.25,33.333,2.125,10.897,1.375,0,1.125,7.125,3.75,0.875
Mitch Robinson,Brisbane,31,31.56,Midfielder,19,7.374,75.789,56.789,4,0.211,1,1,79.316,9.579,4.158,13.737,66.667,62.088,77.215,69.732,2.842,1.842,292.316,21.28,2.368,5.8,3.421,4.015,5.105,8.526,13.632,37.452,3.158,4,0.474,0.368,1.316,1.684,3.474,0.211,0.316,0.579,0.211,0.842,0.842,0,0,0,0,,0,,2.316,0.263,0.211,25,0.316,33.333,5,0.263,0.158,0.526,0.474,50,3.053,14.872,1.211,0.053,1.263,9.895,4.737,0.789
Lincoln McCarthy,Brisbane,27,27.19,Gen. Forward,17,6.771,68.706,49.235,2,0.118,2,0,80.294,5.235,4.471,9.706,66.667,53.933,81.579,53.939,1.765,0.353,153.529,15.818,1.824,5.323,1.706,5.69,5.412,4.471,9.882,54.762,0.588,3.824,1.588,0.471,0.765,1.235,2.353,0.529,0.941,0,0.529,0.824,0.647,0.176,0,0,0,,0,,3.118,1,0.059,100,1.176,40,15,0.882,0.882,1.882,0.353,46.875,4.353,20.556,0.412,0.059,0.647,11.941,3.529,0.294
Marcus Adams,Brisbane,27,27.5,Key Defender,1,4.3,28,12,0,0,0,0,85,2,3,5,80,50,100,40,0,2,57,11.4,1,5,2,2.5,4,1,5,80,2,3,0,0,1,1,1,1,0,1,0,0,1,-1,0,0,0,,0,,0,0,2,50,0,,0,0,0,0,0,,0,0,0,0,0,8,8,0
Oliver Hanrahan,Hawthorn,22,22.34,Gen. Forward,7,3,44.143,38.143,0,0,0,0,71.429,6.286,4.429,10.714,50.667,40.909,64.516,58.667,1.714,0.571,143,13.347,3,3.571,4.143,2.586,4.143,6.571,10.714,38.667,0.714,3.143,1.143,0.143,0.286,0.429,1.429,0,0.429,0.143,0,0.714,0.571,0.143,0,0,0,,0,,1,0.143,0,,0.429,0,3,0.429,0.571,1.429,0.429,30,3.857,23.894,0.429,0.286,0.571,10.286,3.143,0
Shaun Burgoyne,Hawthorn,38,38.19,Gen. Forward,13,9.277,70.462,45.615,4,0.308,1,2,78.154,5.923,4.769,10.692,71.942,62.338,83.871,55.396,2.385,1,175.077,16.374,2.077,5.148,2.231,4.793,4.846,5.538,10.385,46.667,1.923,3.923,1.231,0.077,0.538,0.615,2,0.154,0.538,0.154,0.077,0.231,1,-0.769,0,0,0,,0,,2.462,0.615,0.231,0,1.385,22.222,11,0.846,0.154,1.231,0.692,68.75,3.923,25.123,0.615,0.077,2.231,13.231,4.769,0.923
