Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Luke Pedlar,Adelaide,22,22.62,Gen. Forward,4,4.125,27.75,24.75,0,0,0,0,46,5,0.75,5.75,47.826,45,66.667,86.957,2,0,167.5,29.13,1.5,3.833,1.75,3.286,3,3,6,50,0.25,2.25,0.75,0.25,2,2,1.75,0.5,1.75,1,0.5,2.02,0,0,1,1,1.75,0.25,0.5,0,0,0,1,-1,0,0,0,,0,,0,1,0.75,0,,0.75,33.333,1,0.25,0.5,1,0.75,25,2.25,10.227,0.25,4,2.642,-0.642,3,2.661,-0.327,1,2.586,-1.586,0,0,,0,1,9.5,1.75,0.5
Ivan Soldo,Port Adelaide,28,28.71,Ruck,8,10.85,83.125,72.5,9,1.125,2,0,87.375,6.375,4.125,10.5,58.333,41.176,84.848,60.714,1.5,0.625,114.875,10.94,3.625,2.897,1.75,6,5.75,3.75,9.5,60.526,2,2,0.25,0.5,1.5,2.125,0.75,0,0.375,1.625,21.125,77.169,1.875,8.876,1.875,3.75,2.25,0.625,0.75,0.75,0,1.125,2,-0.875,63.25,71.368,28,44.269,9.625,34.375,1.5,2.75,0.5,0.125,0,0.25,0,5,0.625,0.5,1.25,0.625,50,5.625,21.845,4,10,3.847,-0.447,8,4.079,-0.579,2,2.919,0.081,0,0,,0,2.625,14.75,6.625,1.875
Callum Jamieson,West Coast,24,24.41,Key Defender,4,5.175,59,47.5,0,0,0,0,84.25,7.25,4,11.25,73.333,75.862,68.75,64.444,0.75,2,197.25,17.533,1.25,9,2.5,4.5,5.25,6,11.25,46.667,4.75,3,0,1,2,4.75,2.5,0,1,3.25,0.75,2.885,0.25,33.333,0,0.25,3.75,1,0,1.25,0,1.25,0.25,1,5.25,6.158,1,19.048,0.25,25,0,1.25,0.5,1.25,0,0.25,100,0,0,0,0,0,,1,5.263,0,0,,,0,,,0,,,0,0,,0,3.25,9.25,7,3.25
Oscar McDonald,Fremantle,28,28.78,Key Defender,1,-3.3,27,38,0,0,0,0,58,8,2,10,50,50,50,80,1,2,197,19.7,4,2.5,4,2.5,1,9,10,10,2,1,0,1,0,1,1,0,0,5,0,0,0,,0,0,3,0,0,0,0,0,1,-1,0,0,0,,0,,0,1,0,0,,0,,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,0,0,,0,1,1,1,1
Ethan Hughes,Fremantle,30,30.06,Gen. Defender,6,4.333,52.667,52.5,0,0,0,0,79,7.833,5.167,13,87.179,80.851,96.774,60.256,0.833,2.167,164.667,12.667,1.833,7.091,2.5,5.2,3.167,10,13.167,24.051,2.667,2,0,0.667,1.333,2.833,1.833,0,0.5,4.167,0,0,0,,0.333,0.333,5.167,0.333,0,0.333,0,0.667,1.167,-0.5,0,0,0,,0,,0,1.5,0,1.333,12.5,0,,0,0,0,0,0,,1.333,6.25,0,0,,,0,,,0,,,0.333,3.125,50,0,2.667,5.167,3.833,2.333
Ned McHenry,Adelaide,24,24.46,Gen. Forward,10,4.28,41.4,44.4,0,0,0,0,58.5,5.9,3.9,9.8,76.531,66.102,92.308,60.204,0.7,0.8,134.4,13.714,1.8,5.444,1.8,5.444,3.4,6.9,10.3,33.01,1.5,2.4,0.6,0.5,1.9,2.7,2.3,0.5,1.5,2.9,0,0,0,,0.4,0.4,3.3,0.1,0.3,0,0.4,0.5,0.7,-0.2,0,0,0,,0,,0,2,0.4,0.1,0,0.2,50,4,0.4,0.2,0.7,0.3,57.143,2.5,11.364,0.3,7,4.113,-0.399,4,4.667,-1.167,3,3.375,0.625,0,0,,0,0.7,9.4,3.2,0.1
Mykelti Lefau,Richmond,26,26.52,Key Forward,10,5.73,54.3,44.7,0,0,0,0,78.5,4.5,2.7,7.2,68.056,60,81.481,62.5,1.6,0.1,131.5,18.264,2.1,3.429,2.2,3.273,3.5,4.4,7.9,44.304,0.7,2.1,0.9,0.9,1.2,3,2,0.1,0.7,0.8,0.6,2.19,0.1,16.667,0.4,0.5,3.1,0.1,1.8,0,1.1,0.6,0.7,-0.1,4.4,5.164,1.5,34.091,0.3,20,0.1,1.9,1.1,0,,1.3,15.385,14,1.4,0.5,2.1,0.7,66.667,3.9,20.103,0.2,21,3.744,0.494,19,3.678,0.375,2,4.377,1.623,0,0,,0.1,2.8,11.5,1.7,1.9
Judson Clarke,Richmond,21,21.2,Gen. Forward,1,1.2,8,17,0,0,0,0,19,3,1,4,75,66.667,100,75,1,0,171,42.75,1,4,2,2,1,3,4,25,1,1,0,0,1,1,1,0,1,1,0,0,0,,0,0,2,0,0,1,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,0,0,,0,0,0,0,0
Harry Barnett,West Coast,20,20.93,Ruck,1,-1.6,22,29,0,0,0,0,43,3,3,6,50,33.333,66.667,50,1,0,97,16.167,3,2,3,2,3,3,6,50,2,2,0,1,1,3,2,0,1,2,8,33.333,0,0,0,0,0,0,0,0,0,1,1,0,35,38.889,8,22.857,2,25,0,2,0,0,,2,0,0,0,0,0,0,,1,5.556,0,0,,,0,,,0,,,0,0,,0,1,7,4,1
Patrick Parnell,Adelaide,22,22.82,Gen. Defender,1,-0.2,27,34,0,0,0,0,76,8,2,10,70,62.5,100,80,0,1,74,7.4,1,10,1,10,1,8,9,11.111,1,1,0,0,1,1,1,0,0,5,0,0,0,,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,1,0,0,,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,1,5.556,100,0,0,8,3,0
Loch Rawlinson,West Coast,19,19.58,Gen. Forward,1,-2.8,11,22,0,0,0,0,51,3,1,4,50,33.333,100,75,0,0,33,8.25,2,2,1,4,1,3,4,25,0,1,0,0,1,0,0,0,0,1,0,0,0,,1,1,2,0,1,0,0,0,0,0,0,0,0,,0,,0,1,0,0,,1,0,0,0,1,2,0,0,1,4.348,0,2,4.563,-4.063,1,4.64,-3.64,1,4.486,-4.486,0,0,,0,0,9,1,0
Sam Butler,Hawthorn,21,21.88,Gen. Forward,2,2.1,23.5,27,0,0,0,0,71.5,3.5,1.5,5,70,57.143,100,70,1.5,0.5,100.5,20.1,0.5,10,1.5,3.333,1,4.5,5.5,18.182,0,1,0.5,0,1,1,1,0,1,1.5,0,0,0,,0,0,3,0,0,0,0,0,0.5,-0.5,0,0,0,,0,,0,1.5,1,0,,0.5,0,0,0,0,0,0,,1.5,9.091,0,0,,,0,,,0,,,0,0,,0,0.5,7.5,3,0.5
Dom Sheed,West Coast,29,29.72,Midfielder,8,4.15,44.25,44.625,0,0,0,0,63.5,6.25,5.875,12.125,65.979,56,76.596,51.546,1.75,0.5,166.25,13.711,2.875,4.217,2.375,5.105,6,5.75,11.75,51.064,2,4.5,0.5,1.5,3,2.875,2.5,0.875,0.75,3.75,8.625,31.651,0.5,5.797,1.875,2.375,1.625,0,0,0.125,0.125,1,1.125,-0.125,0,0,0,,0,,0,2.875,0.375,0.125,100,0.125,0,0,0,0.125,0.125,0.125,0,2.25,12.081,0.375,1,2.186,-1.186,0,,,1,2.186,-1.186,0,0,,0,0.25,12.375,5.875,0.125
Cooper Simpson,Fremantle,19,19.87,Gen. Forward,2,4.45,37,23.5,0,0,0,0,65,4,1.5,5.5,72.727,62.5,100,72.727,1,0,109,19.818,1,5.5,1.5,3.667,1.5,4.5,6,25,0.5,1.5,1,0,1.5,1.5,1.5,0,0.5,2,0,0,0,,0,0,2,0,0.5,0,1,0,0.5,-0.5,0,0,0,,0,,0,1,0,0,,0,,0,0,0,0.5,0.5,0,3,11.321,0,1,1.665,-1.665,0,,,1,1.665,-1.665,0,0,,1.5,0.5,12,3.5,0
